"ID" "group" "gender" "pai" "tr1" "tr2" "tr3" "tr4" "tr5" "tr6" "tr7" "tr8" "tr9" "tr10" "tr11" "tr12" "tr13" "tr14" "tr15" "tr16" "tr17" "tr18" "tr19" "tr20" "tr21" "tr22" "tr23" "tr24" "tr25" "tr26" "tr27" "tr28" "tr29" "tr30" "er1" "er2" "er3" "er4" "er5" "er6" "er7" "er8" "er9" "er10" "er11" "er12" "er13" "er14" "er15" "er16" "er17" "er18" "er19" "er20" "er21" "er22" "er23" "er24" "er25" "er26" "er27" "er28" "er29" "er30"
1 "Control" "Male" 0 76 71 70 65 55 63 64 59 63 62 67 65 67 68 70 92 81 80 81 81 78 85 74 70 76 74 71 87 74 79 0 0 1 0 0 0 2 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0
2 "Control" "Male" 0 46 49 45 42 43 39 32 34 58 38 45 53 46 52 35 50 54 41 47 53 40 45 37 55 60 44 53 40 45 40 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
3 "Control" "Male" 0 56 60 60 56 59 55 44 52 51 46 54 61 54 61 41 61 61 59 56 63 61 59 55 54 53 56 63 51 50 62 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0
4 "Control" "Female" 0 51 39 53 44 47 48 38 49 43 42 59 47 59 48 57 61 58 61 65 48 67 51 59 54 62 49 68 54 52 42 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
5 "Control" "Female" 0 74 68 59 57 55 60 50 58 50 53 61 59 53 61 58 79 62 75 69 71 66 68 69 66 56 53 64 59 62 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "Control" "Female" 0 66 63 56 59 51 64 55 55 57 66 61 57 60 62 62 82 58 73 73 72 72 64 71 69 67 59 74 67 70 70 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "Control" "Male" 0 53 46 45 48 43 37 43 28 37 32 42 37 44 39 41 52 51 54 51 55 46 43 45 49 46 41 49 42 38 47 0 1 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 0 0
8 "Control" "Male" 0 92 82 85 78 78 76 73 70 68 70 68 72 71 78 79 88 87 89 90 89 88 88 85 87 90 87 86 88 85 87 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
9 "Control" "Female" 0 57 53 57 54 53 55 44 41 50 53 55 57 52 53 55 66 61 61 65 58 53 51 55 57 53 55 55 55 56 49 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1
10 "Control" "Female" 0 58 60 60 63 54 58 55 50 60 62 62 61 63 65 65 67 68 65 67 69 65 64 63 62 73 63 66 62 59 68 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0
11 "Control" "Male" 0 75 70 71 67 66 66 63 64 64 61 66 68 62 57 58 101 78 75 79 71 69 65 65 57 52 54 73 60 58 82 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 "Control" "Male" 0 75 65 66 59 58 60 51 53 58 60 59 58 61 64 59 82 78 73 74 77 74 71 72 67 66 63 63 62 61 66 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
13 "Control" "Female" 0 72 61 55 56 59 63 55 60 59 62 63 58 66 63 63 82 77 77 81 74 73 74 68 74 70 67 71 70 72 70 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 1
14 "Control" "Male" 0 45 41 43 50 42 42 40 46 37 38 41 42 50 46 45 51 45 42 47 54 48 55 46 57 47 51 54 50 56 53 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2
15 "Control" "Female" 0 68 63 65 58 51 54 57 59 53 53 55 53 59 54 56 73 62 64 67 64 53 57 59 63 58 57 57 59 50 60 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 2 1 1 0 0 0 0 0 1 0 0 1 0
16 "Control" "Female" 0 51 45 47 43 38 43 39 42 47 44 41 45 44 38 40 54 46 52 58 55 42 51 51 49 49 48 49 47 48 50 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0
17 "Control" "Female" 0 62 62 59 64 66 64 51 63 59 62 55 74 69 63 69 66 72 80 76 76 71 81 73 72 71 71 74 70 67 74 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 1 2 0 1 0
18 "Control" "Female" 0 87 76 75 71 66 70 64 63 66 64 70 76 80 78 75 103 94 89 89 87 89 84 83 79 81 82 86 88 87 88 0 2 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 4 0 0 0 0 0 2 0 1 0 1 1
19 "Control" "Female" 0 61 50 56 45 53 53 43 47 44 54 51 60 51 55 53 65 56 64 66 68 69 64 56 57 65 55 61 58 63 59 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0
20 "Control" "Female" 0 38 35 27 30 33 30 28 26 30 36 28 26 31 30 27 38 24 35 40 35 27 28 38 27 26 40 26 33 29 34 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 1 0 0 0
21 "Control" "Female" 0 53 41 39 46 40 39 44 43 48 52 46 53 44 53 39 54 53 60 65 60 57 56 62 55 61 59 56 49 63 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22 "Control" "Female" 0 70 68 61 68 56 64 65 60 63 66 65 67 66 65 62 74 75 75 72 73 67 69 65 64 73 67 69 66 73 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0
23 "Control" "Female" 0 79 70 66 59 54 54 48 52 55 54 51 47 54 60 62 71 66 63 56 58 58 57 56 53 50 54 58 50 54 44 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0
24 "Control" "Female" 0 63 58 56 58 52 57 50 52 57 57 52 56 58 58 58 76 71 78 80 79 73 76 63 74 65 66 64 60 65 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1
25 "Control" "Male" 0 56 50 48 50 41 51 48 52 53 52 52 57 53 56 53 58 54 49 61 58 61 54 55 58 55 58 55 60 55 53 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0
26 "Control" "Female" 0 50 51 49 51 50 50 41 45 49 52 49 56 58 52 54 59 53 62 58 60 67 61 64 56 60 60 62 62 65 59 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0
27 "Control" "Male" 0 95 86 74 58 61 58 52 56 64 79 78 81 64 79 73 100 100 100 94 95 81 78 71 62 78 55 57 67 76 70 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 1
28 "Control" "Male" 0 94 88 87 83 78 76 80 81 80 84 78 84 84 88 89 105 99 104 92 92 92 92 93 89 93 98 97 97 94 104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
29 "Control" "Female" 0 54 62 46 53 54 53 48 53 48 47 45 48 44 57 54 63 58 68 66 56 59 65 56 55 60 52 59 52 62 56 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30 "Control" "Female" 0 58 57 52 46 47 49 45 47 48 52 52 50 47 52 51 58 49 54 54 59 67 53 58 61 42 55 56 56 55 54 0 2 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
31 "Control" "Female" 0 74 73 72 68 62 63 54 63 63 58 69 68 68 73 70 87 87 76 71 77 69 74 76 64 67 69 70 75 68 71 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 "Control" "Male" 0 61 57 55 55 49 52 50 54 53 53 53 45 51 58 64 47 56 63 59 59 58 54 63 60 59 65 66 60 61 60 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
33 "Control" "Female" 0 74 68 69 68 62 67 58 61 63 65 62 64 68 68 70 81 72 69 77 77 77 80 78 76 77 75 77 76 78 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0
34 "Control" "Male" 0 75 67 68 63 54 67 65 60 57 59 57 61 65 48 69 94 76 56 68 55 48 52 64 75 13 74 71 77 44 39 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 2 0 1 0 0 0 0 1 2 0 0 1 0
35 "Control" "Female" 0 61 70 64 56 54 55 46 38 49 62 61 59 48 61 60 78 61 72 71 60 61 46 72 52 69 66 63 66 50 72 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
36 "Control" "Female" 0 47 44 40 45 41 42 28 48 36 39 46 39 41 44 48 42 43 47 53 50 48 48 48 46 43 38 25 30 29 28 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
37 "Control" "Female" 0 57 52 33 39 42 57 27 46 44 51 44 42 47 41 48 59 49 53 57 48 57 45 46 58 45 50 43 53 48 53 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
38 "Gum" "Female" 0 83 74 74 75 74 72 73 72 77 78 75 78 76 80 77 88 90 86 82 85 85 85 85 85 85 87 84 86 82 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 "Gum" "Male" 0 77 70 65 66 68 70 63 64 68 69 65 70 63 72 63 86 78 81 82 78 79 81 77 73 76 74 73 72 79 76 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
40 "Gum" "Male" 0 75 69 55 64 59 65 59 54 48 52 62 61 64 73 65 70 57 78 65 62 66 30 66 75 69 56 66 53 64 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
41 "Gum" "Male" 0 75 80 69 46 56 49 47 47 49 58 39 57 53 69 78 80 84 78 86 56 22 48 50 51 75 75 54 6 93 88 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 1 0 2 0 0 1 0 0 0 0 0
42 "Gum" "Male" 0 75 62 60 61 60 61 50 55 62 67 66 60 64 66 62 85 76 73 77 74 65 70 73 71 66 67 69 66 65 70 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0
43 "Gum" "Male" 0 71 69 70 70 55 65 56 58 66 65 66 66 67 70 60 73 70 71 72 69 67 73 68 70 74 66 72 64 63 69 0 0 1 0 0 1 0 0 0 0 0 1 1 2 0 1 0 0 0 0 2 0 0 0 2 0 1 0 0 0
44 "Gum" "Female" 0 72 64 65 65 59 56 56 59 64 55 61 63 61 64 61 84 75 74 73 74 69 68 72 67 70 63 68 68 71 71 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0
45 "Gum" "Male" 0 58 54 54 51 52 50 43 41 42 44 50 58 53 60 42 68 61 60 61 56 55 51 57 46 46 58 50 47 43 56 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 1 1 0 0 0 1 0 0 0 2 0 2
46 "Gum" "Male" 0 61 57 47 54 46 50 47 45 39 53 44 52 52 45 56 71 58 62 63 62 63 65 67 62 62 63 64 60 65 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
47 "Gum" "Female" 0 69 62 69 65 56 56 59 64 62 61 65 69 65 63 68 92 83 85 82 73 75 74 78 70 67 65 66 64 68 74 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0
48 "Gum" "Male" 0 57 57 48 51 43 50 45 43 43 44 46 43 45 43 51 58 64 58 65 62 56 53 49 62 47 52 59 45 58 61 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0
49 "Gum" "Female" 0 82 79 74 65 66 62 56 56 61 70 67 68 75 61 70 97 96 91 85 89 85 79 74 82 71 66 69 75 70 73 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 2 0 1 0 1 0 1
50 "Gum" "Male" 0 47 47 43 46 43 30 33 36 40 40 42 40 39 43 41 62 53 51 47 48 46 48 45 46 45 51 47 48 42 46 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
51 "Gum" "Male" 0 52 56 54 55 45 48 51 54 54 48 53 57 60 58 59 83 74 65 68 65 62 65 68 70 56 58 59 61 60 60 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
52 "Gum" "Male" 0 32 27 24 28 26 29 25 29 25 28 27 30 28 29 27 30 29 28 31 29 32 28 35 31 27 28 30 29 31 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
53 "Gum" "Female" 0 39 40 38 38 43 37 37 38 45 47 45 41 36 38 45 40 31 49 50 51 48 40 42 37 43 45 49 41 40 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0
54 "Gum" "Female" 0 41 37 34 29 36 32 38 41 45 40 42 40 47 37 38 55 39 49 49 36 53 40 45 51 38 50 47 44 51 45 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0
55 "Gum" "Male" 0 62 52 49 47 48 48 47 46 48 43 51 56 49 48 46 62 62 61 53 62 51 53 53 51 48 54 53 49 51 51 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
56 "Gum" "Male" 0 64 59 52 58 55 51 46 60 49 48 61 50 51 52 48 74 62 65 71 69 64 61 60 60 62 61 70 54 55 62 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 2 0 1 1 0 0 0 0 1 1 0 0 0 1 0
57 "Gum" "Male" 0 64 62 56 45 50 54 41 45 57 56 50 47 47 60 50 83 65 70 62 65 62 58 55 63 50 51 62 49 62 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
58 "Gum" "Male" 0 87 79 77 78 77 77 73 78 78 76 77 76 80 79 86 98 89 88 84 88 81 82 84 82 84 78 83 88 89 81 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0
59 "Gum" "Male" 0 67 59 53 54 52 54 51 47 51 44 54 52 54 57 58 73 75 60 71 64 65 62 59 56 64 63 61 60 60 62 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
60 "Gum" "Male" 0 67 68 70 68 65 67 67 63 66 68 69 69 64 72 75 86 77 77 77 82 78 79 79 74 76 74 72 73 77 74 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
