"ID","group","pai","total"
1,"Control",0,2168
2,"Control",0,1361
3,"Control",0,1674
4,"Control",0,1575
5,"Control",0,1862
6,"Control",0,1935
7,"Control",0,1324
8,"Control",0,2454
9,"Control",0,1639
10,"Control",0,1877
11,"Control",0,2017
12,"Control",0,1955
13,"Control",0,2015
14,"Control",0,1404
15,"Control",0,1761
16,"Control",0,1396
17,"Control",0,2036
18,"Control",0,2390
19,"Control",0,1702
20,"Control",0,935
21,"Control",0,1541
22,"Control",0,2016
23,"Control",0,1713
24,"Control",0,1898
25,"Control",0,1616
26,"Control",0,1665
27,"Control",0,2242
28,"Control",0,2695
29,"Control",0,1653
30,"Control",0,1584
31,"Control",0,2099
32,"Control",0,1700
33,"Control",0,2136
34,"Control",0,1841
35,"Control",0,1803
36,"Control",0,1246
37,"Control",0,1434
38,"Gum",0,2420
39,"Gum",0,2178
40,"Gum",0,1877
41,"Gum",0,1818
42,"Gum",0,1998
43,"Gum",0,2015
44,"Gum",0,1992
45,"Gum",0,1567
46,"Gum",0,1699
47,"Gum",0,2069
48,"Gum",0,1558
49,"Gum",0,2214
50,"Gum",0,1335
51,"Gum",0,1778
52,"Gum",0,864
53,"Gum",0,1251
54,"Gum",0,1269
55,"Gum",0,1554
56,"Gum",0,1754
57,"Gum",0,1691
58,"Gum",0,2457
59,"Gum",0,1762
60,"Gum",0,2173
61,"Gum",0,1620
62,"Gum",0,2115
63,"Gum",0,1941
64,"Gum",0,2089
65,"Pai",6,2771
66,"Pai",6,2726
67,"Pai",6,835
68,"Pai",4,1290
69,"Pai",6,1326
70,"Pai",6,1326
71,"Pai",2,1154
72,"Pai",6,1448
73,"Pai",6,1533
74,"Pai",4,1626
75,"Pai",6,1325
76,"Pai",4,1623
77,"Pai",3,1669
78,"Pai",6,1851
79,"Pai",1,1787
80,"Pai",2,1872
81,"Pai",4,1550
82,"Pai",6,1505
83,"Pai",6,1443
84,"Pai",2,1762
85,"Pai",4,2052
86,"Pai",6,2100
87,"Pai",4,2099
88,"Pai",1,2114
89,"Pai",6,1444
90,"Pai",6,1611
91,"Pai",6,1931
92,"Pai",6,1356
93,"Pai",4,2446
94,"Pai",6,2263
95,"Pai",6,2521
96,"Pai",6,2186
