name,team,pay,position,year,age,height,weight,games,Hit,HR
Ｔ−岡田,オリックス,6400,外野手,11,28,186,98,123,129,20
エリアン,DeNA,8000,内野手,1,31,180,93,79,56,5
エルドレッド,広島,12500,内野手,5,36,196,122,95,93,21
エルナンデス,中日,4500,内野手,3,33,178,87,64,58,5
ギャレット,巨人,30000,外野手,1,35,196,107,123,109,24
クルーズ,巨人,24400,内野手,3,32,183,95,81,75,11
ゴメス,阪神,20000,内野手,3,32,188,104,139,127,22
デスパイネ,ロッテ,25000,外野手,3,30,175,95,134,139,24
ナバーロ,ロッテ,14000,内野手,1,28,183,93,82,62,10
バレンティン,ヤクルト,36000,外野手,6,32,185,100,132,123,31
ビシエド,中日,17000,外野手,1,27,185,108,119,114,22
ボグセビック,オリックス,9200,外野手,1,32,191,97,60,32,3
メヒア,西武,25000,内野手,3,30,198,118,137,129,35
モレル,オリックス,9200,内野手,1,29,185,100,94,75,8
ルナ,広島,12000,内野手,4,36,187,99,67,66,5
レアード,日本ハム,10000,内野手,2,29,185,98,143,144,39
ロペス,DeNA,15000,内野手,4,32,183,103,123,127,34
阿部　慎之助,巨人,32600,内野手,16,37,180,97,91,104,12
安達　了一,オリックス,6300,内野手,5,28,178,78,118,110,1
伊藤　光,オリックス,5700,捕手,9,27,180,83,80,45,3
井口　資仁,ロッテ,18000,内野手,16,41,178,91,79,39,5
角中　勝也,ロッテ,8000,外野手,10,29,180,85,143,178,8
梶谷　隆幸,DeNA,8300,外野手,10,28,180,85,107,108,18
丸　佳浩,広島,8500,外野手,9,27,177,90,143,162,20
亀井　善行,巨人,7000,外野手,12,34,178,82,66,57,3
菊池　涼介,広島,8500,内野手,5,26,171,69,141,181,13
吉村　裕基,ソフトバンク,5000,外野手,14,32,183,92,78,37,5
近藤　健介,日本ハム,4800,捕手,5,23,173,83,80,68,2
銀次,楽天,8100,内野手,11,28,174,78,125,116,2
栗山　巧,西武,20000,外野手,15,33,177,85,135,133,3
荒木　雅博,中日,8800,内野手,21,39,180,74,93,71,1
今宮　健太,ソフトバンク,9000,内野手,7,25,171,73,137,122,10
