"ID","team","pond","G1F1","G1F2","G1F3","G1F4","G1F5","G1F6","G1F7","G1F8","G1F9","G1F10","G1score","G2F1","G2F2","G2F3","G2F4","G2F5","G2F6","G2F7","G2F8","G2F9","G2F10","G2score"
1,1,7,0,9,9,6,5,7,8,8,8,7,77,10,4,3,1,1,10,9,0,3,6,60
2,1,7,1,1,1,3,7,8,9,6,7,6,47,0,8,10,0,0,0,0,5,3,8,34
3,1,12,6,9,8,10,5,10,10,10,9,9,117,10,9,10,10,3,10,8,10,10,10,150
4,1,12,3,8,6,9,7,9,5,9,10,9,84,7,8,10,8,9,8,9,7,10,7,98
5,1,9,0,7,9,8,8,7,8,8,8,8,71,5,6,7,7,7,8,3,7,8,6,64
6,2,11,7,9,10,8,10,10,8,10,10,5,138,10,10,10,10,10,10,10,10,9,10,183
7,2,7,0,0,8,0,0,0,0,9,0,5,22,6,0,7,3,0,0,0,4,6,0,26
8,2,7,8,8,10,8,0,8,7,7,10,9,84,9,7,9,9,6,6,7,5,1,7,66
9,2,7,0,5,8,6,1,1,6,5,1,8,41,6,4,9,8,7,8,9,0,3,5,59
10,3,11,4,6,6,10,10,8,0,8,7,3,79,1,9,7,0,7,8,10,8,3,8,68
11,3,10,10,9,10,1,8,7,9,10,7,8,96,10,8,0,8,7,10,10,8,10,10,123
12,3,7,0,9,7,8,10,4,10,3,0,5,59,8,8,8,7,7,9,7,10,8,3,76
13,4,10,3,7,1,10,9,10,10,0,10,7,92,8,7,10,9,9,10,9,6,7,7,94
14,3,9,9,10,9,9,10,3,7,10,6,7,96,8,8,10,10,5,9,7,10,10,8,116
15,3,9,0,0,7,4,1,7,9,8,9,6,51,1,9,8,8,9,8,9,9,7,6,74
16,4,11,9,6,8,9,8,6,5,8,0,8,67,10,8,0,10,8,10,3,7,9,10,94
17,4,9,4,9,4,6,9,5,7,7,6,10,76,6,10,9,9,0,9,10,8,9,8,94
18,4,9,10,0,0,7,9,9,9,0,0,4,48,8,10,10,7,8,8,7,7,10,9,110
19,4,9,9,9,2,5,6,9,8,7,9,7,62,7,1,9,8,9,8,6,7,6,0,61
20,5,9,9,10,10,7,0,8,9,1,0,8,79,0,9,4,4,0,0,10,7,10,6,53
21,5,7,0,0,7,5,4,7,0,6,0,10,46,5,1,0,5,0,1,8,1,1,6,28
22,5,9,9,9,6,10,9,9,6,9,8,9,93,8,8,8,4,8,8,8,9,7,7,75
23,5,12,10,6,10,9,10,10,10,10,8,10,155,9,9,9,5,8,10,10,10,9,9,108
24,5,13,8,8,10,8,8,6,6,9,6,9,86,1,9,10,9,6,7,9,10,8,9,95
25,6,9,7,10,6,8,8,8,0,8,6,6,73,9,3,0,2,7,6,10,10,4,4,69
26,6,12,9,9,7,10,9,9,8,4,10,9,99,9,8,10,7,10,10,8,10,8,9,120
27,6,7,7,6,3,10,9,6,9,8,9,10,95,10,8,8,8,8,7,9,8,7,8,81
28,6,11,6,3,10,8,8,10,10,10,10,9,140,0,9,8,9,9,9,10,10,9,8,98
29,6,7,0,6,1,6,8,3,6,10,7,10,60,8,7,0,8,3,7,9,10,9,7,77
